Site,MJD,camera,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
"lsc",2458500.246943900,"fa09",7.008940079147249,5.962775791809509,2.113584939901272,1.379060020833432,1.169463223414696,0.2109944442410769,0.3535117827148556,0.3238447460581950,0.06353972912582134,0.05871883702912495,-7.740465906302563,-6.710040015430914,-2.471388312727488,-1.605952807676460,-1.429029831128620,-0.4752700543689450,-0.3424369198948888,-0.4022282445225567,-0.09931471461838043,-0.1539214302308091
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.002862487583436,5.961137177344725,2.071139314619463,1.372779310261607,1.161120332741761,0.09928852621677953,0.3486157012656602,0.3316572208718995,0.07469266825989050,0.05906090582217272,-7.750993990555073,-6.709890169478879,-2.473919910318209,-1.580589062072492,-1.446642849061782,-0.4784400569072018,-0.3450798535463939,-0.4323313574818433,-0.09863612908163835,-0.1464207828950990
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.008967186101033,5.962969845967132,2.113583102167839,1.379062630039666,1.169542450015465,0.2109964409930097,0.3534971820932007,0.3238131537473787,0.06353822627654301,0.05889816722797137,-7.740501056241490,-6.710052963801991,-2.471424988607410,-1.606010823407917,-1.429082957780601,-0.4753322036366010,-0.3424762437891987,-0.4023143033108079,-0.09932203756508934,-0.1539016449667500
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.246943900,"fa09",7.009119020393191,5.963422406539928,2.113810225147460,1.379382299926099,1.169823228841625,0.2113903291601907,0.3535822229653582,0.3240287060089249,0.06356053952047300,0.05915960489246497,-7.740498130111322,-6.710016780750131,-2.471407510824986,-1.605990842913601,-1.429104933710298,-0.4753014090955983,-0.3424564508042960,-0.4022777483406215,-0.09932183700212310,-0.1538848636754234
"lsc",2458584.246943900,"fa09",7.009119859031454,5.963424065946249,2.113811996900037,1.379384804676780,1.169823991859586,0.2113927784888223,0.3535836026508715,0.3240333186222486,0.06356089941573678,0.05915941950629899,-7.740499242337261,-6.710018948620826,-2.471411247916316,-1.605992678429653,-1.429106811332654,-0.4753094456145921,-0.3424575980796339,-0.4022822336253713,-0.09932216032185776,-0.1538849962317667
"lsc",2458584.249748900,"fa09",6.969178528237278,5.947236254875744,2.043678150915512,1.295526785308735,1.149888170047012,0.1484255699768440,0.2699305272345126,0.1611797801132548,0.05301687761159445,0.1302945899464345,-7.745302657798019,-6.688007439223246,-2.463390067825455,-1.604446202797527,-1.429845424041476,-0.4200761096884971,-0.3458185226776202,-0.4708275955131322,-0.1045726770899022,-0.1162280736804062
"lsc",2458584.249748900,"fa09",6.967629286805849,5.923431629875612,2.062465904178261,1.298725091461715,1.142639937175662,0.1986441336707108,0.2746603159262698,0.1607929739916150,0.04768596556105623,0.1054501772609104,-7.737436273749709,-6.702159076311811,-2.456615880832635,-1.607427873954379,-1.419381146222145,-0.3989270900054769,-0.3427437086011451,-0.4223922824582633,-0.1078055010223034,-0.1407189828455869
"lsc",2458584.249748900,"fa09",6.967603693375564,5.923350662404347,2.062438737599431,1.298682232694150,1.142591578378341,0.1985934892108641,0.2746502951758863,0.1607743627686234,0.04768732279138813,0.1053961342608327,-7.736256380399579,-6.687704653974423,-2.457522528044617,-1.608319417286236,-1.415642798677884,-0.4018407829919786,-0.3434081979207974,-0.4242404456354287,-0.1070744166723872,-0.1254720099036113
"lsc",2458584.249748900,"fa09",6.967629286805849,5.923431629875612,2.062465904178261,1.298725091461715,1.142639937175662,0.1986441336707108,0.2746603159262698,0.1607929739916150,0.04768596556105623,0.1054501772609104,-7.737436438403690,-6.702166877664872,-2.456619650510309,-1.607430597470764,-1.419380317891534,-0.3989361587837312,-0.3427450024784199,-0.4223974551562246,-0.1078056120358458,-0.1407245173724297
"lsc",2458584.249748900,"fa09",6.967629286805849,5.923431629875612,2.062465904178261,1.298725091461715,1.142639937175662,0.1986441336707108,0.2746603159262698,0.1607929739916150,0.04768596556105623,0.1054501772609104,-7.737436438403690,-6.702166877664872,-2.456619650510309,-1.607430597470764,-1.419380317891534,-0.3989361587837312,-0.3427450024784199,-0.4223974551562246,-0.1078056120358458,-0.1407245173724297
"lsc",2458584.252542300,"fa09",6.996971876774730,5.994614022399989,2.105158436496325,1.393227758221555,1.180727445417558,0.2110090297024250,0.3168263080352821,0.2421259159853381,0.06072583238880359,0.1453620598056700,-7.752924278054130,-6.713331831675561,-2.488068563383019,-1.645377898930774,-1.442690220372020,-0.4490288177331407,-0.3523821062582241,-0.4449759656204400,-0.1137015792273096,-0.1343701252214268
"lsc",2458584.252542300,"fa09",6.996982442409613,5.994698200410406,2.105179293698451,1.393251095968626,1.180748481830803,0.2110518810408053,0.3168303976426510,0.2421352438348738,0.06072740638509026,0.1454310995708263,-7.752932791298995,-6.713285439025747,-2.488059307836247,-1.645367724101703,-1.442718167289746,-0.4490224799344333,-0.3523749366832726,-0.4449535575780235,-0.1136947123812611,-0.1343400071609466
"lsc",2458584.252542300,"fa09",6.996982442409613,5.994698200410406,2.105179293698451,1.393251095968626,1.180748481830803,0.2110518810408053,0.3168303976426510,0.2421352438348738,0.06072740638509026,0.1454310995708263,-7.752932791298995,-6.713285439025747,-2.488059307836247,-1.645367724101703,-1.442718167289746,-0.4490224799344333,-0.3523749366832726,-0.4449535575780235,-0.1136947123812611,-0.1343400071609466
"lsc",2458584.252542300,"fa09",7.017986701804227,6.079273804290752,2.147438202974226,1.420766319142216,1.224835343076750,0.3089111676511389,0.3243532615765597,0.2837067136582838,0.05895173170385174,0.2018633833938872,-7.766011156670805,-6.677650609398857,-2.485361220702432,-1.628129722076660,-1.467127763633829,-0.4463418908739696,-0.3536195569180612,-0.4516337989314514,-0.1082554298761651,-0.1048534387108021
"lsc",2458584.252542300,"fa09",6.996982442409613,5.994698200410406,2.105179293698451,1.393251095968626,1.180748481830803,0.2110518810408053,0.3168303976426510,0.2421352438348738,0.06072740638509026,0.1454310995708263,-7.752932791298995,-6.713285439025747,-2.488059307836247,-1.645367724101703,-1.442718167289746,-0.4490224799344333,-0.3523749366832726,-0.4449535575780235,-0.1136947123812611,-0.1343400071609466
"lsc",2458584.255347300,"fa09",7.040301673595831,6.069924724476254,2.197514705063418,1.486327789050609,1.245676611212374,0.3787266108538694,0.3447340809964726,0.2297011713953346,0.07439011640831880,0.1566421911041789,-7.745173463974270,-6.716858314790212,-2.459181898082514,-1.632400738262350,-1.424063315911837,-0.3855772728042890,-0.3543663818013063,-0.4698826768321718,-0.1156120935707043,-0.1413752534936592
"lsc",2458584.255347300,"fa09",7.040301854174764,6.069925191221719,2.197515537373215,1.486328807868851,1.245676782759885,0.3787266672769041,0.3447343759849679,0.2297020373929321,0.07439108167908885,0.1566422703426729,-7.745173513353670,-6.716859040284699,-2.459179800763154,-1.632400860323789,-1.424063019129472,-0.3855748643083641,-0.3543669203706896,-0.4698856685582877,-0.1156104562236723,-0.1413752486744145
"lsc",2458584.255347300,"fa09",7.040301673595831,6.069924724476254,2.197514705063418,1.486327789050609,1.245676611212374,0.3787266108538694,0.3447340809964726,0.2297011713953346,0.07439011640831880,0.1566421911041789,-7.745173463974270,-6.716858314790212,-2.459181898082514,-1.632400738262350,-1.424063315911837,-0.3855772728042890,-0.3543663818013063,-0.4698826768321718,-0.1156120935707043,-0.1413752534936592
"lsc",2458584.255347300,"fa09",7.057883774810554,6.173315092909031,2.169229916314746,1.495438879450840,1.279748148860339,0.2911513464547434,0.3552827763022682,0.2907256932162059,0.08369214444011125,0.2240436094959035,-7.752121491409080,-6.689910091048644,-2.465065189950193,-1.620510812044855,-1.431240388685428,-0.4041437088043480,-0.3603083923370490,-0.5036558673251448,-0.1117857420133136,-0.1091760497939190
"lsc",2458584.255347300,"fa09",7.040345371689400,6.070007218977415,2.197573257726273,1.486412520133333,1.245752362424580,0.3788205107227360,0.3447659680619055,0.2297898617365958,0.07439680611639890,0.1566652505919297,-7.745194067348413,-6.716976848709661,-2.459253403740246,-1.632455777520527,-1.424083089953577,-0.3857454280158612,-0.3544078526449636,-0.4700520425954757,-0.1156123674620384,-0.1414364249087845
"lsc",2458584.258164000,"fa09",7.041749586808381,6.062410284662103,2.151297166422863,1.423559560504851,1.250843945338202,0.3031959273185489,0.3468286976336181,0.2749845063487106,0.06692214995544143,0.1485537646962978,-7.753390172378484,-6.684271584388986,-2.464846322679398,-1.629775762086645,-1.437389836292684,-0.3924717187423628,-0.3450757716358421,-0.4501929723529114,-0.1140846078150930,-0.1087446170662112
"lsc",2458584.258164000,"fa09",7.044397394917111,6.093080243660736,2.150460408449849,1.446614949080792,1.253844190637452,0.2908834958155009,0.3473954989393562,0.2847725321691981,0.06766838938224640,0.1689361834067211,-7.743529631274120,-6.725946665039256,-2.462835589428332,-1.642576793657986,-1.424209901864266,-0.3778002527197704,-0.3421332899904004,-0.4326520386282586,-0.1218089779801696,-0.1490290839491286
"lsc",2458584.258164000,"fa09",7.044327552144194,6.092722101368476,2.150383241439351,1.446513977910040,1.253678148736673,0.2907280431131940,0.3473997436052460,0.2847609021441703,0.06766450021171619,0.1686466980593293,-7.743730756561863,-6.726230034904270,-2.462492979518315,-1.642150498122935,-1.425293664191039,-0.3767864627167770,-0.3413417875369458,-0.4298148114589579,-0.1221221757208688,-0.1497140379031965
"lsc",2458584.258164000,"fa09",7.044327552144194,6.092722101368476,2.150383241439351,1.446513977910040,1.253678148736673,0.2907280431131940,0.3473997436052460,0.2847609021441703,0.06766450021171619,0.1686466980593293,-7.743730756561863,-6.726230034904270,-2.462492979518315,-1.642150498122935,-1.425293664191039,-0.3767864627167770,-0.3413417875369458,-0.4298148114589579,-0.1221221757208688,-0.1497140379031965
"lsc",2458584.258164000,"fa09",7.044327552144194,6.092722101368476,2.150383241439351,1.446513977910040,1.253678148736673,0.2907280431131940,0.3473997436052460,0.2847609021441703,0.06766450021171619,0.1686466980593293,-7.743730756561863,-6.726230034904270,-2.462492979518315,-1.642150498122935,-1.425293664191039,-0.3767864627167770,-0.3413417875369458,-0.4298148114589579,-0.1221221757208688,-0.1497140379031965
"lsc",2458585.246932600,"fa09",7.012245371091071,6.070974848132736,2.139602496027469,1.489014362953625,1.207631423206482,0.3593163062833689,0.3211002822125598,0.3910942472481167,0.02502691234259173,0.1249686683844571,-7.761360740138801,-6.633510942563516,-2.490682076011901,-1.625641909977964,-1.445679012100964,-0.4595260614027077,-0.3677579383830314,-0.4514995067701875,-0.1079083554466509,-0.05643591019794603
"lsc",2458585.246932600,"fa09",7.021981276049199,6.051690874344865,2.153052886372958,1.449778580196936,1.245109779006889,0.4100647033987629,0.3065414899347422,0.2454173017343101,0.02398422381661161,0.1404029574522639,-7.756967201969659,-6.710301863594203,-2.464234870380147,-1.641117650182945,-1.444946979670775,-0.3949526327739177,-0.3681475116398936,-0.4549325858982785,-0.1064462457406337,-0.1248584623625104
"lsc",2458585.246932600,"fa09",7.022001786286374,6.051805310148874,2.153072592370332,1.449813526016976,1.245141313068753,0.4100900312454650,0.3065530996047642,0.2454486686876996,0.02398673910066548,0.1404927813024142,-7.757033189429987,-6.710277915109554,-2.464276960847193,-1.641178373069188,-1.445073491771331,-0.3950291758062110,-0.3681944730759833,-0.4550603964413888,-0.1064506916202294,-0.1247876054243240
"lsc",2458585.246932600,"fa09",7.021975764095076,6.051682557533857,2.153042608552497,1.449761610673678,1.245106313261096,0.4100517133639068,0.3065298830562526,0.2453917538888201,0.02398223921703988,0.1404058052132464,-7.756962169832632,-6.710301053478313,-2.464229383480793,-1.641111549076690,-1.444938091326662,-0.3949428572036835,-0.3681431528950809,-0.4549210553133174,-0.1064451340860638,-0.1248617604212575
"lsc",2458585.246932600,"fa09",7.021969471410751,6.051518515101060,2.153024834518584,1.449758001671556,1.245071622368353,0.4100324734686137,0.3065519847738359,0.2454105710085378,0.02396418665432391,0.1402463650080782,-7.756985140551595,-6.710279858778324,-2.464233840685704,-1.641122196226262,-1.444979505957811,-0.3949497932637811,-0.3681616733273110,-0.4549452104069380,-0.1064417335360546,-0.1248315099280871
"lsc",2458585.249737700,"fa09",6.960750784395231,5.896519431833026,2.006418923214861,1.262426970812361,1.117084162852602,0.1247779507304302,0.2973296266121500,0.2256535004218643,0.006225636093983716,0.06810347435990005,-7.731955320356002,-6.691428521864985,-2.456303442253775,-1.608046216718149,-1.411682607460710,-0.4480743226864922,-0.3262375250352851,-0.3757296395795543,-0.08381738397496558,-0.1343872979567892
"lsc",2458585.249737700,"fa09",6.961499774491107,5.899451283008829,2.005707588378823,1.261604997169086,1.118833734595716,0.1230952631808033,0.2974343169063501,0.2260013835711994,0.006261703676661755,0.07031815470139624,-7.731912938787182,-6.691434346306513,-2.456269375233392,-1.607978511600864,-1.411633075359165,-0.4480704714746729,-0.3261714442272113,-0.3756101649362082,-0.08379022621253715,-0.1344437177188832
"lsc",2458585.249737700,"fa09",6.956060376662005,5.926840890217683,1.973008824201739,1.279710907977541,1.102214686807090,0.03049877858575045,0.2950704985559049,0.2663129409520715,0.008246801790903882,0.07907686462872454,-7.728292190858478,-6.652801625213065,-2.443035712121338,-1.597919678074795,-1.393988062177086,-0.4048893226235957,-0.3257765682489178,-0.3867673050436802,-0.08899399666600352,-0.09276745314442003
"lsc",2458585.249737700,"fa09",6.961444434283133,5.899289582387532,2.005639598645242,1.261509779141051,1.118717609885052,0.1229690561601258,0.2974174770660559,0.2259558296984898,0.006256977677158139,0.07021620164924935,-7.731920479854361,-6.691417896915482,-2.456271456177728,-1.607985375777271,-1.411653843533292,-0.4480680755003289,-0.3261724631111659,-0.3756174400202631,-0.08379349162878655,-0.1344259530711703
"lsc",2458585.249737700,"fa09",6.961526322197489,5.899542169225385,2.005766069332398,1.261689980785098,1.118848043722076,0.1231719426129674,0.2974866666639694,0.2261270196295417,0.006275571213511820,0.07035046791179345,-7.731891726975721,-6.691445451139352,-2.456253448592837,-1.607963764472387,-1.411599186041734,-0.4480417855959413,-0.3261579810084618,-0.3755620621704542,-0.08378774616390675,-0.1344714449372402
"lsc",2458585.252531300,"fa09",6.992815775739941,6.032414364349499,2.072138070669706,1.324087258756206,1.190183889935484,0.2466022405327239,0.2842335916767171,0.1990941728906019,0.02975933856153878,0.1872130676122376,-7.750983873733512,-6.675407725277627,-2.470659353977827,-1.620216659284397,-1.440360618883610,-0.4238193818555618,-0.3425146485666323,-0.4174958972041531,-0.1125645339780891,-0.1086617584547375
"lsc",2458585.252531300,"fa09",6.993095008690380,6.033165895700785,2.071556456427745,1.323489500231889,1.190301571695749,0.2453439074913999,0.2851223495553546,0.2015625720527501,0.02956100638014480,0.1873784364156407,-7.750964314901873,-6.675535230969852,-2.470680553315797,-1.620227087874046,-1.440309610555178,-0.4238672778769561,-0.3425173901792623,-0.4175213943147433,-0.1125686315181440,-0.1087809022125660
"lsc",2458585.252531300,"fa09",6.993005931502819,6.033118474075203,2.071431512718439,1.323298651069335,1.190167908831286,0.2451472173969256,0.2850397801013884,0.2013745995018082,0.02955226806333207,0.1874511901144424,-7.750969975514765,-6.675418744314547,-2.470651643882045,-1.620208890127845,-1.440328947151111,-0.4238019502396935,-0.3425093492582340,-0.4174709947600248,-0.1125644744717740,-0.1086756709501404
"lsc",2458585.252531300,"fa09",6.993103110941125,6.033178353726202,2.071573750000124,1.323513659489634,1.190311256530900,0.2453710885531018,0.2851313638871050,0.2015839098876555,0.02956358326960938,0.1873779416811035,-7.750970657783968,-6.675520469054272,-2.470680391461494,-1.620227384467851,-1.440327938563452,-0.4238687038913178,-0.3425176803484498,-0.4175259171933658,-0.1125675206133890,-0.1087645614461835
"lsc",2458585.252531300,"fa09",6.993357247753708,6.068640671206201,2.082125629109588,1.318262680190401,1.191057487472507,0.2640030957218718,0.2878472499238457,0.1855681624014720,0.03428501324095544,0.2193450628153037,-7.753093588181207,-6.597179904889518,-2.470200324459055,-1.585255174515720,-1.444711347151280,-0.4467823762908874,-0.3348927245364195,-0.3780549373757824,-0.1042985421855909,-0.05390351598722409
"lsc",2458585.255336200,"fa09",7.000115924467879,5.961643941671569,2.075325554031692,1.338003026774465,1.154409485365723,0.2013510219657598,0.3373865861567036,0.2995827894017082,0.03764658247146812,0.08052379669446186,-7.732946487904067,-6.678277678350917,-2.442248619790856,-1.597617084156453,-1.414957864207846,-0.3958706003572984,-0.3231508037269216,-0.3720675527630566,-0.08734558882031684,-0.1267423725289595
"lsc",2458585.255336200,"fa09",7.000562842793123,5.963021473849002,2.075814274970400,1.338712536903974,1.155354025414125,0.2022422148048317,0.3374997278538472,0.2998808904987532,0.03767462788332707,0.08142075658233705,-7.732973066141135,-6.678238350905485,-2.442274255442765,-1.597643386405573,-1.415046729802413,-0.3959231861617411,-0.3231326730832792,-0.3720932890877791,-0.08735439838940307,-0.1266929550751437
"lsc",2458585.255336200,"fa09",7.000565461022743,5.963037672725351,2.075816469928731,1.338707130426130,1.155377535252387,0.2022609526534143,0.3374864136450642,0.2998597948630739,0.03767433646101939,0.08144401541353807,-7.732966021621283,-6.678245030714736,-2.442259950764622,-1.597633147781061,-1.415008063546271,-0.3958912570938221,-0.3231437404707380,-0.3720659765121828,-0.08734797740244082,-0.1267111197927895
"lsc",2458585.255336200,"fa09",7.005844885811500,5.979011440419598,2.087968087012826,1.356270235733297,1.166705638007659,0.2256986606671805,0.3369343421507983,0.2985642421894807,0.03754477187565038,0.09124826999892688,-7.732920668909662,-6.678187827803248,-2.442198862074916,-1.597549285515050,-1.414937936517006,-0.3957896945439062,-0.3230886345815751,-0.3719299711925013,-0.08733336863447760,-0.1266949818664446
"lsc",2458585.255336200,"fa09",7.015502016477605,5.965723843518547,2.100117684960864,1.363343431839956,1.186838753761263,0.2379617092344808,0.3438816159887924,0.3031263205354580,0.04742483997184900,0.07729124206308224,-7.730923674884123,-6.635592900783468,-2.421590201906914,-1.604246442625575,-1.409575376510698,-0.3621462761228877,-0.3111377422527756,-0.3765360646339815,-0.07826034938950205,-0.08535706905573526
"lsc",2458585.258141200,"fa09",7.004728385363493,6.065909700363364,2.102089509505693,1.345346744737277,1.211318578769952,0.3054319974105756,0.2946786097652926,0.2114223525812942,0.03413766064456990,0.1970307528842721,-7.738516872244667,-6.654642106131232,-2.437904410310829,-1.571446793999066,-1.424385609013030,-0.3929530659956638,-0.3275134501687971,-0.3634793728542877,-0.09043049508347900,-0.1068728898363213
"lsc",2458585.258141200,"fa09",7.004758611643703,6.065905640750088,2.102130870102350,1.345408161858514,1.211371396419463,0.3055087994680493,0.2946972459276789,0.2114690815690294,0.03413544958477907,0.1969908183601473,-7.738449085540545,-6.654703232479163,-2.437876816073916,-1.571389775286351,-1.424230590867463,-0.3929172659943441,-0.3274756985459167,-0.3633501827776086,-0.09042253657757704,-0.1069775324959161
"lsc",2458585.258141200,"fa09",7.004839263746586,6.066103143317965,2.102264600420263,1.345591956919562,1.211538448178786,0.3057465775131402,0.2947289023963316,0.2115761589633522,0.03415129572155309,0.1970931060327716,-7.738454896758601,-6.654697506974561,-2.437871200596101,-1.571399451464854,-1.424236888877349,-0.3928934078196040,-0.3274934058528120,-0.3633671853401573,-0.09042460110662137,-0.1069621555182888
"lsc",2458585.258141200,"fa09",7.004757850366850,6.065819294885215,2.102110644368149,1.345385311250071,1.211376144638272,0.3054729697294832,0.2946971736006523,0.2114719416305417,0.03413081209841071,0.1969048186478675,-7.738445385067802,-6.654730618826962,-2.437875823638050,-1.571391023961460,-1.424205618173426,-0.3929098240565025,-0.3275012682453681,-0.3633747629784165,-0.09042044043262271,-0.1069906694357571
"lsc",2458585.258141200,"fa09",6.988401870614068,5.992910420597922,2.119168731581147,1.348666291680434,1.166123264937903,0.3506315251348100,0.3025069364217325,0.2393788625719131,0.03064037214058546,0.1324069233472349,-7.742973789423025,-6.558151618911998,-2.458738451582885,-1.570019241267084,-1.421149519185200,-0.4320908098741509,-0.3335934928935678,-0.3649398899105778,-0.09485938712238086,-0.01506911622916851
"lsc",2458586.246919200,"fa09",7.010620073526378,6.154985693869236,2.050172002194161,1.336924838502262,1.220228251696448,0.1182563771134040,0.3065550240081824,0.2368484164813141,0.06491277720431816,0.2830717462646266,-7.741107112740814,-6.696902705676715,-2.458271391656592,-1.607595033145342,-1.425467302262517,-0.3749325796381044,-0.3433608453607657,-0.3993945520140946,-0.1117999932820896,-0.1413368908779815
